st_number,pos_code,label,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
95,"B3E 1K2",business,-63.3094307,44.7336617,95,"WEST PORTERS LAKE RD",,"PORTERS LAKE",,,"B3E 1K2",,c93d4d864938cc2d
80,"B2Y 0A5",business,-63.5521188,44.653801,80,"MAWIOMI PL",,DARTMOUTH,,,"B2Y 0A5",,8025b68ba1481327
44,"B4C 1A9",business,-63.6879664,44.7749132,44,"BALSAM CIR",,"LOWER SACKVILLE",,,"B4C 1A9",,4d40fc55dc370f81
28,"B2X 1K8",business,-63.5305535,44.6856215,28,"CALEDONIA RD",,DARTMOUTH,,,"B2X 1K8",,e55f7bfc2904b93e
1,"B2Y 4A7",residential,-63.5713982,44.666909,1,"ALDERNEY DR",,DARTMOUTH,,,"B2Y 4A7",,51f4f6bcf041c0c0
5515,"B3H 4J9",residential,-63.574192,44.636706,5515,"VICTORIA RD",,HALIFAX,,,"B3H 4J9",,64db7ca11cd7bd56
12014,"B0N 1X0",business,-63.1367887,45.0520909,12014,"HIGHWAY 224",,"MIDDLE MUSQUODOBOIT",,,"B0N 1X0",,79ef20f9054712f7
5498,"B3H 1J8",business,-63.5729052,44.6349486,5498,"INGLIS ST",,HALIFAX,,,"B3H 1J8",,b90c53df5df0bd66
5540,"B3K 1X2",business,-63.5977787,44.6608089,5540,"RUSSELL ST",,HALIFAX,,,"B3K 1X2",,00cd17ece27971f6
8,"B2Y 4K1",residential,-63.5441124,44.6528118,8,"MOUNT HOPE AVE",,DARTMOUTH,,,"B2Y 4K1",,6e5527c8066a7c22
3340,"B3K 5T4",residential,-63.6031367,44.6661214,3340,"KENNY ST",,HALIFAX,,,"B3K 5T4",,7ba00c4f8aa40499
86,"B3G 1A2",business,-63.4890243,44.6137396,86,"COW BAY RD",,"EASTERN PASSAGE",,,"B3G 1A2",,42723c5875783ae2
3284,"B3L 3B3",business,-63.6173877,44.6547693,3284,"CONNAUGHT AVE",,HALIFAX,,,"B3L 3B3",,3fa11339c1652664
29,"B4A 2C3",business,-63.6593058,44.7400824,29,"MEADOWVIEW DR",,BEDFORD,,,"B4A 2C3",,3c85b675df6a4b9e
60,"B3A 4R9",business,-63.590024,44.6889149,60,"HIGHFIELD PARK DR",,DARTMOUTH,,,"B3A 4R9",,a484b63baeb37335
2717,"B3L 4T9",business,-63.6223607,44.6436399,2717,"JOSEPH HOWE DR",,HALIFAX,,,"B3L 4T9",,09d1c9c7b98d8da5
50,"B3M 3B5",business,-63.6669604,44.6800191,50,"DONALDSON AVE",,HALIFAX,,,"B3M 3B5",,ae2abd6ab0234d39
1799,"B2Z 1E9",business,-63.4397734,44.7100532,1799,"HIGHWAY 7",,"EAST PRESTON",,,"B2Z 1E9",,83cc4a0acd3952ff
290,"B3M 3V3",business,-63.6502137,44.6520365,290,"MAIN AVE",,HALIFAX,,,"B3M 3V3",,ce8bae7a5f2e5937
89,"B3M 2X5",business,-63.6419416,44.6580144,89,"GORDON AVE",,HALIFAX,,,"B3M 2X5",,dacbda52ff467682
