st_number,pos_code,label,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
114,"B2W 2S7",business,-63.5313753,44.6731412,114,"WOODLAWN RD",,DARTMOUTH,,,"B2W 2S7",,37468915aea2bdec
1555,"B3H 3S9",business,-63.5934458,44.6392868,1555,"CHESTNUT ST",,HALIFAX,,,"B3H 3S9",,a73ba6f45459d43c
3,"B3M 2C9",business,-63.6611842,44.6823008,3,"DAKIN DR",,HALIFAX,,,"B3M 2C9",,ade38fe77bee1d37
129,"B3Z 0G5",business,-63.8719507,44.7218063,129,"WYNDHAM DR",,"UPPER TANTALLON",,,"B3Z 0G5",,fb5d3aaac045a959
3450,"B3K 5R5",residential,-63.6042254,44.6670831,3450,"DEVONSHIRE AVE",,HALIFAX,,,"B3K 5R5",,a0e416121375943d
2151,"B3K 3B5",business,-63.5839007,44.6525286,2151,"GOTTINGEN ST",,HALIFAX,,,"B3K 3B5",,6d6ecb004cd4d583
46,"B3Z 1B3",business,-63.7931658,44.6730697,46,"SHELDRAKE CRES",,HUBLEY,,,"B3Z 1B3",,e85bed23555e4937
1,"B3Z 1E5",business,-63.8701129,44.6881913,1,"ASHFORD CL",,"UPPER TANTALLON",,,"B3Z 1E5",,edec8b76253223b6
1,"B3Z 1E5",business,-63.8701129,44.6881913,1,"ASHFORD CL",,"UPPER TANTALLON",,,"B3Z 1E5",,edec8b76253223b6
6036,"B3H 1Y9",business,-63.5874418,44.6397043,6036,"COBURG RD",,HALIFAX,,,"B3H 1Y9",,91f312fe9e20d264
3,"B3M 4P8",residential,-63.6321762,44.6607765,3,"FORD ST",,HALIFAX,,,"B3M 4P8",,ee8c95541bf4a2d1
61,"B3A 3G7",business,-63.5808121,44.6730132,61,"BOLAND RD",,DARTMOUTH,,,"B3A 3G7",,a221c4aed3599fe5
109,"B4B 1W6",business,-63.8048226,44.7474093,109,"WHITE HILLS RUN",,"HAMMONDS PLAINS",,,"B4B 1W6",,0f407773cbc620cd
3260,"B3K 2X7",business,-63.5982286,44.6670511,3260,"BARRINGTON ST",,HALIFAX,,,"B3K 2X7",,2eb651ce6b7ae344
277,"B4E 1K1",business,-63.6893215,44.7968106,277,"BEAVER BANK RD",,"BEAVER BANK",,,"B4E 1K1",,400f6720b1634346
19,"B0J 2L0",residential,-63.146331,44.6876603,19,"COALIES HEAD LANE",,"EAST PETPESWICK",,,"B0J 2L0",,d9c6088bb2cc532d
449,"B2W 4L2",business,-63.5005923,44.6735357,449,"POPLAR DR",,"COLE HARBOUR",,,"B2W 4L2",,fac10cc3d3cb645f
91,"B4E 3B1",business,-63.7371541,44.8037251,91,"FENERTY RD",,"MIDDLE SACKVILLE",,,"B4E 3B1",,3ffebaf184b31cb6
201,"B2X 3T4",business,-63.5329319,44.7055607,201,"AVENUE DU PORTAGE",,DARTMOUTH,,,"B2X 3T4",,12499a80c11d7ca8
22,"B0J 1Y0",business,-62.8103629,44.775148,22,"POWER DR",,"LOWER SHIP HARBOUR",,,"B0J 1Y0",,105b470d90dad2f3
1,"B0J 1T0",residential,-64.0460826,44.6342407,1,"JOHNSON RD",,HUBBARDS,,,"B0J 1T0",,275b14db7f4eecf1
567,"B4C 2S4",business,-63.6839248,44.767718,567,"SACKVILLE DR",,"LOWER SACKVILLE",,,"B4C 2S4",,cf67aa8a05026764
32,"B3M 1H5",business,-63.6544967,44.6541229,32,"BIRKDALE CRES",,HALIFAX,,,"B3M 1H5",,fd51f70aa350bdf7
25,"B3A 3H9",business,-63.5801443,44.675922,25,"GRAHAM ST",,DARTMOUTH,,,"B3A 3H9",,5424e45c54040a75
1376,"B4B 1P6",business,-63.7465826,44.7270189,1376,"HAMMONDS PLAINS RD",,"HAMMONDS PLAINS",,,"B4B 1P6",,40ffe22e4a24356b
30,"B3T 1J4",business,-63.7462563,44.6614325,30,"FORESTGLEN DR",,TIMBERLEA,,,"B3T 1J4",,f9cd6a2815b80f23
22,"B0J 1Y0",business,-62.8421578,44.710454,22,"FISHERMAN RD",,"LITTLE HARBOUR",,,"B0J 1Y0",,5d6d6bee7d1eac66
69,"B3N 2G6",business,-63.6387629,44.6510328,69,"SUNNYBRAE AVE",,HALIFAX,,,"B3N 2G6",,0077bbb3695cdb04
9,"B2X 1Z7",business,-63.5382779,44.6923051,9,"DUMBARTON AVE",,DARTMOUTH,,,"B2X 1Z7",,c4d282513de27cf6
20,"B0J 1T0",business,-64.0594697,44.6376068,20,"YACHT CLUB RD",,HUBBARDS,,,"B0J 1T0",,98faaf53260b2002
60,"B3S 1E2",business,-63.6715076,44.6720978,60,"SCOTCH PINE TERR",,HALIFAX,,,"B3S 1E2",,8cce5192e253487c
3372,"B3K 3M2",business,-63.6022167,44.6668216,3372,"DEVONSHIRE AVE",,HALIFAX,,,"B3K 3M2",,7601342f1ca13786
12,"B3M 1S5",business,-63.6492528,44.67466,12,"FLAMINGO DR",,HALIFAX,,,"B3M 1S5",,f33ae952679c21e0
1,"B4E 2R9",business,-63.6998981,44.7895866,1,"UNITY CRT",,"MIDDLE SACKVILLE",,,"B4E 2R9",,5905bee73c391c23
31,"B3T 1Z6",business,-63.7797618,44.5141344,31,"PINEDALE DR",,"PROSPECT BAY",,,"B3T 1Z6",,c862ad5576b6e41a
2443,"B3K 4C1",business,-63.5908248,44.6535964,2443,"AGRICOLA ST",,HALIFAX,,,"B3K 4C1",,f4209d041fe1d71f
2473,"B3K 4C3",business,-63.5914173,44.654007,2473,"AGRICOLA ST",,HALIFAX,,,"B3K 4C3",,e19f97ff14d6a5fc
19,"B0J 2L0",residential,-63.0990929,44.7846941,19,"CHESTNUT DR",,"SMITHS SETTLEMENT",,,"B0J 2L0",,0be994c54a074a0b
58,"B3S 1E2",business,-63.6715396,44.6721966,58,"SCOTCH PINE TERR",,HALIFAX,,,"B3S 1E2",,9250d05e134239e8
2385,"B3K 4B8",business,-63.5896283,44.6527903,2385,"AGRICOLA ST",,HALIFAX,,,"B3K 4B8",,48e824ed9d227ec6
315,"B2Y 1K3",business,-63.5537654,44.6683016,315,"PORTLAND ST",,DARTMOUTH,,,"B2Y 1K3",,4ac5ca9fe4145351
16,"B2W 6A1",business,-63.5191708,44.6700987,16,"PORTLAND ESTATES BLVD",,DARTMOUTH,,,"B2W 6A1",,dd7bb05ac30cddc6
22,"B4C 2J3",business,-63.6631555,44.7527538,22,"MEMORY LANE",,"LOWER SACKVILLE",,,"B4C 2J3",,2029f0749d287162
22,"B4C 2J3",business,-63.6631555,44.7527538,22,"MEMORY LANE",,"LOWER SACKVILLE",,,"B4C 2J3",,2029f0749d287162
14,"B3V 1L9",business,-63.6330378,44.4666637,14,"NICKERSON RD",,"EAST PENNANT",,,"B3V 1L9",,6980704d8eaf71ad
19,"B0J 2L0",residential,-63.158786,44.7793623,19,"SPRUCE CRT",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,f4e1c4b214d28f95
1459,"B3J 3S7",business,-63.5782347,44.6418578,1459,"BRENTON ST",,HALIFAX,,,"B3J 3S7",,434a5750dc4b560f
3845,"B3L 4H9",business,-63.6272878,44.6609157,3845,"JOSEPH HOWE DR",,HALIFAX,,,"B3L 4H9",,390b6e05a24dcd46
11,"B0J 2L0",business,-63.1476839,44.786449,11,"EAST PETPESWICK RD",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,0f4336e147cafce5
751,"B0J 1Y0",business,-62.8442292,44.7941506,751,"WEST SHIP HARBOUR RD",,"LOWER SHIP HARBOUR",,,"B0J 1Y0",,214be3e72f5c4ee9
168,"B3G 1E4",business,-63.4779413,44.6075857,168,"REDOUBT WAY",,"EASTERN PASSAGE",,,"B3G 1E4",,b7b865c814af984e
11,"B0J 2L0",business,-63.1794947,44.7832624,11,"SCOTSDALE DR",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,67ef54949fc8a0b0
51,"B4A 2B9",residential,-63.6598737,44.7390624,51,"BRIDGE ST",,BEDFORD,,,"B4A 2B9",,6ade72ac2fbbffaf
54,"B3M 4R9",business,-63.6636434,44.6980567,54,"LARRY UTECK BLVD",,HALIFAX,,,"B3M 4R9",,9cc33494b8088570
1,"B0J 1T0",residential,-64.0552276,44.6393062,1,"TRUEMAN LANE",,HUBBARDS,,,"B0J 1T0",,247f480fcc99bbac
6250,"B3L 1N9",business,-63.5984857,44.6509013,6250,"WILLOW ST",,HALIFAX,,,"B3L 1N9",,562b3db736da631b
114,"B2W 2S7",business,-63.5330876,44.6721081,114,"WOODLAWN RD",,DARTMOUTH,,,"B2W 2S7",,53ae23c26c9fb809
6462,"B3L 1X4",business,-63.6086051,44.6517754,6462,"LONDON ST",,HALIFAX,,,"B3L 1X4",,c77cc3e128f15164
6155,"B3L 1J7",business,-63.5958374,44.6490849,6155,"LAWRENCE ST",,HALIFAX,,,"B3L 1J7",,e4c7f0955f6d5d7a
4,"B4E 1A7",business,-63.6959004,44.7780508,4,"JUDY AVE",,"LOWER SACKVILLE",,,"B4E 1A7",,3dfe085c65f6ae3a
20,"B4C 3E7",residential,-63.676712,44.7711373,20,"MCDOUGALL AVE",,"LOWER SACKVILLE",,,"B4C 3E7",,cc01177d91ae7960
639,"B2W 0J7",business,-63.5067091,44.6693903,639,"PORTLAND HILLS DR",,DARTMOUTH,,,"B2W 0J7",,ba5006e6a391b91e
91,"B4E 3B1",business,-63.7410442,44.8053359,91,"SPRINGFIELD LAKE RD",,"MIDDLE SACKVILLE",,,"B4E 3B1",,e3dc2fe060a456ee
28,"B0N 1X0",residential,-63.1171085,44.9759187,28,"ZIGZAG DR",,MURCHYVILLE,,,"B0N 1X0",,accc8c5f3b321ece
3331,"B3L 3B4",business,-63.6162276,44.6561103,3331,"CONNAUGHT AVE",,HALIFAX,,,"B3L 3B4",,0fec0cf1dc3ea743
1355,"B3H 4J1",business,-63.5936535,44.6356624,1355,"OXFORD ST",,HALIFAX,,,"B3H 4J1",,bfd9afd3f76d88c5
199,"B3M 2J9",business,-63.647084,44.6751335,199,"BEDFORD HWY",,HALIFAX,,,"B3M 2J9",,28916bba34a8a822
1600,"B4A 1E8",business,-63.6563867,44.7334245,1600,"BEDFORD HWY",,BEDFORD,,,"B4A 1E8",,3c2b96f69da7a0e9
49,"B2W 3K5",business,-63.5215097,44.6815278,49,"MOUNT EDWARD RD",,DARTMOUTH,,,"B2W 3K5",,74aab9a254055053
289,"B4E 1K1",business,-63.6884014,44.7975276,289,"BEAVER BANK RD",,"BEAVER BANK",,,"B4E 1K1",,54c0f0c4a115b1a4
94,"B3B 0A7",business,-63.5818682,44.7054074,94,"GARLAND AVE",,DARTMOUTH,,,"B3B 0A7",,b178bfd47295b113
82,"B2W 3E5",business,-63.5360898,44.6796079,82,"TACOMA DR",,DARTMOUTH,,,"B2W 3E5",,73d2fdc38122b9ce
15,"B2V 2T1",business,-63.4777622,44.6715687,15,"BISSETT RD",,"COLE HARBOUR",,,"B2V 2T1",,b8b11e868aca4757
114,"B4A 4C5",business,-63.6827977,44.7071286,114,"OCEANVIEW DR",,BEDFORD,,,"B4A 4C5",,76f5ebfff80cdf7a
15,"B3Z 1E4",business,-63.8779619,44.6912962,15,"FRENCH VILLAGE STATION RD",,"UPPER TANTALLON",,,"B3Z 1E4",,6b075fc79d0af4cf
15,"B3Z 1E4",business,-63.8779619,44.6912962,15,"FRENCH VILLAGE STATION RD",,"UPPER TANTALLON",,,"B3Z 1E4",,6b075fc79d0af4cf
5,"B3T 1A2",business,-63.6918511,44.6378286,5,"OLIVER ST",,BEECHVILLE,,,"B3T 1A2",,cbaa776888d0310f
19,"B0J 2L0",residential,-63.1488885,44.7877398,19,"HIGHWAY 357",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,0f069a02a68f4437
5594,"B3K 4B1",residential,-63.6159531,44.6715096,5594,"NORTH RIDGE RD",,HALIFAX,,,"B3K 4B1",,23402978bcee665e
480,"B3S 1P9",business,-63.6765224,44.6709805,480,"PARKLAND DR",,HALIFAX,,,"B3S 1P9",,da55ef69658503a8
480,"B3S 1P9",business,-63.6765224,44.6709805,480,"PARKLAND DR",,HALIFAX,,,"B3S 1P9",,da55ef69658503a8
19,"B0J 2L0",residential,-63.1039032,44.7797692,19,"SUNSET LANE",,"OSTREA LAKE",,,"B0J 2L0",,6ec6a9108ad8c2ee
14,"B0J 3B0",residential,-62.5317008,44.9193169,14,"BEHIE RD",,"SHEET HARBOUR",,,"B0J 3B0",,609582cd4b1d4f3e
5651,"B3H 1B9",business,-63.5714,44.6290243,5651,"OGILVIE ST",,HALIFAX,,,"B3H 1B9",,143c096d61e12991
4182,"B3E 1E6",business,-63.3306403,44.7400633,4182,"HIGHWAY 7",,"PORTERS LAKE",,,"B3E 1E6",,e3d5ff01f00bdaeb
1710,"B4E 3A9",business,-63.7295559,44.795471,1710,"SACKVILLE DR",,"MIDDLE SACKVILLE",,,"B4E 3A9",,4a5dce1972ec803e
1215,"B4B 2E1",business,-63.7366423,44.7251918,1215,"HAMMONDS PLAINS RD",,"HAMMONDS PLAINS",,,"B4B 2E1",,80505a54c718a74b
17,"B2X 3L2",business,-63.540184,44.6964983,17,"LANTANA TERR",,DARTMOUTH,,,"B2X 3L2",,90c61cc3785fdaf8
58,"B0J 1P0",business,-63.0624976,44.7750744,58,"GULL ROCK DR",,"HEAD OF JEDDORE",,,"B0J 1P0",,72a2eb7a487348b3
30,"B3P 2J8",business,-63.6218245,44.6298706,30,"RIDGE VALLEY RD",,HALIFAX,,,"B3P 2J8",,cf75ca53af320739
3461,"B3N 2S7",business,-63.6317776,44.654847,3461,"DUTCH VILLAGE RD",,HALIFAX,,,"B3N 2S7",,7d6b94e58b86d21c
325,"B3E 1J9",business,-63.2891322,44.7444142,325,"PORTERS LAKE STATION RD",,"PORTERS LAKE",,,"B3E 1J9",,3eecd99264e12726
325,"B3E 1J9",business,-63.2891322,44.7444142,325,"PORTERS LAKE STATION RD",,"PORTERS LAKE",,,"B3E 1J9",,3eecd99264e12726
194,"B2X 2C1",business,-63.5438862,44.6927554,194,"WAVERLEY RD",,DARTMOUTH,,,"B2X 2C1",,4424e78305b555da
2875,"B3E 1A4",business,-63.3947681,44.7288773,2875,"HIGHWAY 7",,"LAKE ECHO",,,"B3E 1A4",,0b7a9e6f82318e03
1,"B0J 1T0",residential,-64.0514736,44.6412058,1,"CONRADS RD",,HUBBARDS,,,"B0J 1T0",,313a71a96cb025d7
230,"B2Y 3R8",business,-63.5513161,44.6581819,230,"PLEASANT ST",,DARTMOUTH,,,"B2Y 3R8",,d514c6e4b48c4001
1714,"B3T 1B4",business,-63.7084086,44.6431848,1714,"ST MARGARETS BAY RD",,TIMBERLEA,,,"B3T 1B4",,a442b0525e4c3057
28,"B0N 1X0",residential,-63.114704,44.9731996,28,"BREAKAWAY BLVD",,MURCHYVILLE,,,"B0N 1X0",,69d77fe243674609
58,"B0J 1P0",business,-63.0359163,44.7690721,58,"ALVEWA DR",,"MYERS POINT",,,"B0J 1P0",,40cf231e0be937cb
55,"B2Y 4G4",residential,-63.5652369,44.6727266,55,"CRICHTON AVE",,DARTMOUTH,,,"B2Y 4G4",,32adea762bc85c7b
5251,"B3J 1P3",business,-63.5761409,44.6492387,5251,"DUKE ST",,HALIFAX,,,"B3J 1P3",,90fea5859dde8bb0
500,"B3M 0E6",business,-63.6780156,44.7002328,500,"LARRY UTECK BLVD",,HALIFAX,,,"B3M 0E6",,3d922ca711d7bbae
945,"B3H 2Y2",business,-63.577527,44.6326428,945,"TOWER RD",,HALIFAX,,,"B3H 2Y2",,9f56bdb4d1beb7da
4,"B3R 1M4",business,-63.6215544,44.6075085,4,"DEKKER ST",,HALIFAX,,,"B3R 1M4",,6ef09bb96f9a279f
166,"B3M 2J6",business,-63.6449762,44.6720305,166,"BEDFORD HWY",,HALIFAX,,,"B3M 2J6",,3cfed9aafee2e931
1,"B2Y 1Z7",business,-63.5422513,44.6660673,1,"REGENCY DR",,DARTMOUTH,,,"B2Y 1Z7",,273a5519a8a99ba9
11,"B0J 2L0",business,-63.1254187,44.7914556,11,"CEDAR DR",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,2bb0690e2da7cac6
11,"B0J 2L0",business,-63.1658307,44.7571553,11,"YOUNG DR",,"WEST PETPESWICK",,,"B0J 2L0",,042f01c369866f8a
11,"B0J 2L0",business,-63.1591805,44.7800178,11,"SPRUCE CRT",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,63f421b5b98bba16
530,"B2Y 4V6",business,-63.538175,44.6694214,530,"PORTLAND ST",,DARTMOUTH,,,"B2Y 4V6",,5d1a53fe29c2644c
28,"B4B 1G7",business,-63.7071692,44.7256616,28,"BLUEWATER RD",,BEDFORD,,,"B4B 1G7",,f5da4e948df72df0
12280,"B0N 1X0",business,-63.1459549,45.0443842,12280,"HIGHWAY 224",,"MIDDLE MUSQUODOBOIT",,,"B0N 1X0",,79d8ee1fff3fb4a1
20,"B0J 1T0",business,-64.0502147,44.6427236,20,"SHANKEL RD",,HUBBARDS,,,"B0J 1T0",,06955a9c616c50b3
65,"B4A 0H2",business,-63.6891691,44.7013165,65,"DELLRIDGE LANE",,BEDFORD,,,"B4A 0H2",,527cfe569a3bfcf8
930,"B0N 2M0",business,-62.8914077,45.1905304,930,"DEAN BACK RD",,DEAN,,,"B0N 2M0",,dbce9756ece2d0a9
28,"B0N 1X0",residential,-63.149263,45.0455585,28,"MAPLE DR",,"MIDDLE MUSQUODOBOIT",,,"B0N 1X0",,c1054286441dd1ef
8741,"B0N 2M0",business,-62.9608656,45.1280436,8741,"HIGHWAY 224",,"UPPER MUSQUODOBOIT",,,"B0N 2M0",,cbe61970449f6cc3
58,"B0J 1P0",business,-63.058308,44.752342,58,"FAULKNER CRES",,"HEAD OF JEDDORE",,,"B0J 1P0",,ca55b2fca43a5259
103,"B4C 2N1",business,-63.6605171,44.7561026,103,"COBEQUID RD",,"LOWER SACKVILLE",,,"B4C 2N1",,382fb50231d28849
1094,"B3H 2Z9",business,-63.5802413,44.6354308,1094,"WELLINGTON ST",,HALIFAX,,,"B3H 2Z9",,d2d3496fa208bcdf
3514,"B3L 4H7",business,-63.6304488,44.6560466,3514,"JOSEPH HOWE DR",,HALIFAX,,,"B3L 4H7",,2a04abd51b5e50b0
28,"B0N 1X0",residential,-63.1550484,45.0446425,28,"SIBLEY RD",,"MIDDLE MUSQUODOBOIT",,,"B0N 1X0",,37601597df48183b
30,"B0J 3A0",business,-63.5185783,44.631639,30,"BOUNDARY RD",,SHEARWATER,,,"B0J 3A0",,6d362cc8d5f23789
30,"B0J 3A0",business,-63.5214959,44.6342758,30,"BANSHEE AVE",,SHEARWATER,,,"B0J 3A0",,7a31105e5ac7a9fc
30,"B0J 3A0",business,-63.5205656,44.6343569,30,"SEAFIRE AVE",,SHEARWATER,,,"B0J 3A0",,344a999a9f12c0e3
30,"B0J 3A0",business,-63.5219281,44.635184,30,"MARTLET PL",,SHEARWATER,,,"B0J 3A0",,444f7da8d6e06419
22,"B0J 1Y0",business,-62.8189659,44.7573894,22,"DEBAIES COVE RD",,"DEBAIES COVE",,,"B0J 1Y0",,4e93e379472d2e23
19,"B0J 2L0",residential,-63.0883881,44.7201244,19,"WHARF RD",,"OSTREA LAKE",,,"B0J 2L0",,15c042866e3ef8a8
19,"B0J 2L0",residential,-63.1589512,44.7994521,19,"BAYERS MILL RD",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,97103d134eff4dab
19,"B0J 2L0",residential,-63.0904138,44.7191145,19,"WILLIAMS RD",,"OSTREA LAKE",,,"B0J 2L0",,3270db22c6542e65
19,"B0J 2L0",residential,-63.0697837,44.7186652,19,"CROSS RD",,"OSTREA LAKE",,,"B0J 2L0",,cb77c9ea93602cff
29,"B3Z 1H4",business,-63.8600738,44.7063994,29,"WESTWOOD BLVD",,"UPPER TANTALLON",,,"B3Z 1H4",,81b5a1dcc9b8db63
